Mesocosm ID,FG,Comp,RootBiomass,SurfaceArea,TN,TC,AboveBiomass
A1,2,FR,425.0617444,608.4356,4.929653682,278.4328639,231.2926829
A2,3,FRT,307.5523203,486.4159,4.800583867,257.5831735,264.2195122
A3,1,T,1294.943455,905.5492,6.303395195,645.1149566,540.0487805
A5,2,RT,632.5230729,821.8645,6.980655536,359.0879106,242.8780488
A6,1,R,280.5147537,601.2635,5.457483283,211.2542205,261.3170732
A8,1,T,438.5805278,635.5437,8.636617152,461.326494,615.6585366
B1,2,RT,413.8827506,819.7779,5.75548215,352.6031462,421.4390244
B2,1,F,199.4020538,344.6701,2.111863268,84.91327566,6.780487805
B3,2,FT,444.0400364,654.8706,4.233477085,336.9471716,270
B4,1,T,408.9431951,549.2301,3.615506369,326.5798462,323.804878
B5,1,R,374.8862602,662.2073,4.032946956,262.8906353,206.6341463
B6,1,T,472.1175094,1010.9946,6.570896185,463.3371396,579.4390244
B7,2,FR,568.8288054,961.561,4.369815526,253.1230435,226.6097561
B8,2,FR,962.433381,899.0987,8.938911962,402.395471,217.7804878
C1,2,RT,636.6826986,850.5771,9.13687196,433.8850605,313.7804878
C2,2,RT,976.2121409,952.9913,12.32684051,598.5496174,374.804878
C3,2,FT,268.0358768,498.6862,3.064322491,129.389182,52.09756098
C4,2,FT,566.489016,908.9304,10.49407758,515.0521952,562.2926829
C5,3,FRT,682.6985571,928.4307,10.00127474,445.2027517,303.4390244
C7,2,FT,1316.261536,1066.5245,15.25882733,820.8314484,500.804878
C8,2,FT,705.8364747,1256.4809,9.579974515,467.7617653,380.9268293
D1,1,F,385.8052775,299.3242,3.250020313,172.2019452,0.853658537
D2,1,R,487.1961523,805.9247,10.72103488,471.2032773,567.0243902
D3,1,T,402.4437801,590.4647,6.470635757,340.7008483,450.7560976
D4,3,FRT,600.2859743,628.6583,5.728104195,361.6443652,193.6585366
D6,2,FR,632.2630963,854.6887,9.303030698,408.4295676,342.3902439
D7,1,F,318.4713376,576.9656,2.030042425,120.5449179,1.853658537
D8,1,R,495.7753802,709.2832,8.051781128,367.8987357,337.3170732
E3,3,FRT,1058.364747,965.8732,14.74604774,702.0462109,644.1219512
E4,3,FRT,668.6598206,890.2818,8.245934072,401.1485689,292.6097561
E5,2,FR,650.9814117,957.0626,7.791642146,330.1451292,244.8780488
E6,2,RT,181.2036917,384.5686,5.752095213,183.8457242,265.9756098
E9,1,F,686.3382296,795.9269,3.859832361,260.9631648,8.585365854
